Kudos Date,Kudos Type,Parent ID
"Jan 6, 2020, 11:55:17 PM",Activity,2986157365
"Jan 8, 2020, 4:35:28 AM",Activity,2991816654
"Jan 10, 2020, 3:38:55 PM",Activity,2997375593
"Jan 10, 2020, 3:39:24 PM",Activity,2996889941
"Jan 12, 2020, 1:26:29 AM",Activity,3002374750
"Jan 12, 2020, 1:26:38 AM",Activity,3002271845
"Jan 14, 2020, 4:26:48 AM",Activity,3006064278
"Jan 15, 2020, 4:32:01 AM",Activity,3012170659
"Jan 17, 2020, 3:15:56 AM",Activity,3018004349
"Jan 18, 2020, 5:11:45 PM",Activity,3019546325
"Jan 18, 2020, 9:43:05 PM",Activity,3022680106
"Jan 18, 2020, 9:43:10 PM",Activity,3019874702
"Jan 20, 2020, 4:15:19 PM",Activity,3027024792
"Jan 20, 2020, 4:15:22 PM",Activity,3026582667
"Jan 22, 2020, 1:19:33 AM",Activity,3031866944
"Jan 23, 2020, 1:10:32 AM",Activity,3032538925
"Jan 23, 2020, 11:22:13 PM",Activity,3036645842
"Jan 25, 2020, 2:09:51 AM",Activity,3040439764
"Jan 26, 2020, 3:56:24 AM",Activity,3042698655
"Jan 26, 2020, 3:56:41 AM",Activity,3042509497
"Jan 26, 2020, 6:01:37 PM",Activity,3046013014
"Jan 28, 2020, 1:52:15 AM",Activity,3046109033
"Jan 28, 2020, 6:15:02 AM",Activity,3049577597
"Feb 2, 2020, 11:31:04 PM",Activity,3066209501
"Feb 2, 2020, 11:35:45 PM",Activity,3062577132
"Feb 9, 2020, 1:43:54 AM",Activity,3083227718
"Feb 9, 2020, 1:44:14 AM",Activity,3083195865
"Feb 11, 2020, 1:56:55 AM",Activity,3089349086
"Feb 12, 2020, 3:30:35 PM",Activity,3090901480
"Feb 12, 2020, 3:30:46 PM",Activity,3091462815
"Feb 13, 2020, 5:58:07 AM",Activity,3095394367
"Feb 16, 2020, 9:08:48 AM",Activity,3103466017
"Feb 16, 2020, 9:08:53 AM",Activity,3102231426
"Feb 17, 2020, 12:54:10 AM",Activity,3106006289
"Feb 18, 2020, 1:20:01 AM",Activity,3108106689
"Feb 19, 2020, 1:49:59 AM",Activity,3109588112
"Feb 19, 2020, 1:51:56 AM",Activity,3112364540
"Feb 20, 2020, 2:00:15 AM",Activity,3114299318
"Feb 21, 2020, 1:05:52 AM",Activity,3117167760
"Feb 22, 2020, 3:12:26 AM",Activity,3119962140
"Feb 23, 2020, 5:55:40 AM",Activity,3122700632
"Feb 23, 2020, 9:18:42 PM",Activity,3125958883
"Feb 23, 2020, 9:18:44 PM",Activity,3125745024
"Feb 24, 2020, 7:38:33 PM",Activity,3128714009
"Feb 27, 2020, 6:58:04 AM",Activity,3134419050
"Feb 28, 2020, 5:45:47 PM",Activity,3139116254
"Feb 29, 2020, 6:18:13 PM",Activity,3142395534
"Mar 1, 2020, 7:36:48 PM",Activity,3145784818
"Mar 3, 2020, 12:13:34 AM",Activity,3146855102
"Mar 4, 2020, 3:33:21 AM",Activity,3150611040
"Mar 4, 2020, 6:51:13 PM",Activity,3153716216
"Mar 4, 2020, 6:55:10 PM",Activity,3152492337
"Mar 7, 2020, 5:34:34 PM",Activity,3162713210
"Mar 8, 2020, 7:12:31 AM",Activity,3162865997
"Mar 8, 2020, 7:42:40 PM",Activity,3166001479
"Mar 8, 2020, 7:42:45 PM",Activity,3166341049
"Mar 9, 2020, 5:54:39 PM",Activity,3167249487
"Mar 10, 2020, 5:25:29 PM",Activity,3171235319
"Mar 12, 2020, 2:29:51 PM",Activity,3177026211
"Mar 13, 2020, 2:07:54 PM",Activity,3178533758
"Mar 13, 2020, 2:08:12 PM",Activity,3178672795
"Mar 14, 2020, 5:19:45 PM",Activity,3183062239
"Mar 14, 2020, 5:19:55 PM",Activity,3180941905
"Mar 17, 2020, 3:43:34 AM",Activity,3189869633
"Mar 17, 2020, 3:44:00 AM",Activity,3188719855
"Mar 17, 2020, 9:42:56 PM",Activity,3191667729
"Mar 18, 2020, 1:11:02 AM",Activity,3192892439
"Mar 18, 2020, 3:35:10 PM",Activity,3192985269
"Mar 18, 2020, 7:53:25 PM",Activity,3195294555
"Mar 19, 2020, 5:46:10 PM",Activity,3197789049
"Mar 20, 2020, 6:45:03 PM",Activity,3200586633
"Mar 21, 2020, 9:37:27 PM",Activity,3204284218
"Mar 21, 2020, 9:37:27 PM",Activity,3204310506
"Mar 23, 2020, 4:34:25 AM",Activity,3209051976
"Mar 24, 2020, 3:45:49 AM",Activity,3211178610
"Mar 24, 2020, 3:45:50 AM",Activity,3211694614
"Mar 24, 2020, 7:31:12 PM",Activity,3213494553
"Mar 24, 2020, 8:15:41 PM",Activity,3213303244
